distribution,flaw,magnitude,vis,parameter,id,index,training,correct,rt,vizIndex,excluded
normal,outliers,25,histogram,28,578fc7e8275be60001359ac0,2,1,0,14325,viz18,0
normal,outliers,25,scatter,0.0875,578fc7e8275be60001359ac0,3,1,0,15734,viz2,0
normal,gap,25,density,0.0175,578fc7e8275be60001359ac0,4,1,0,12204,viz9,0
normal,gap,25,histogram,28,578fc7e8275be60001359ac0,5,1,0,11999,viz9,0
normal,gap,25,scatter,0.0875,578fc7e8275be60001359ac0,6,1,1,6382,viz18,0
normal,spike,25,density,0.0175,578fc7e8275be60001359ac0,7,1,1,4898,viz16,0
normal,spike,25,histogram,28,578fc7e8275be60001359ac0,8,1,1,2655,viz10,0
normal,spike,25,scatter,0.0875,578fc7e8275be60001359ac0,9,1,1,3968,viz20,0
normal,outliers,20,histogram,14,578fc7e8275be60001359ac0,10,0,0,4389,viz20,0
normal,outliers,15,density,0.0175,578fc7e8275be60001359ac0,11,0,0,4122,viz12,0
normal,outliers,20,histogram,28,578fc7e8275be60001359ac0,12,0,1,3312,viz6,0
normal,outliers,20,density,0.0175,578fc7e8275be60001359ac0,13,0,1,13131,viz13,0
normal,spike,20,density,0.035,578fc7e8275be60001359ac0,14,0,1,11959,viz2,0
normal,spike,15,scatter,0.0875,578fc7e8275be60001359ac0,15,0,1,2477,viz14,0
normal,gap,10,density,0.0175,578fc7e8275be60001359ac0,16,0,0,6209,viz2,0
normal,spike,20,scatter,0.35,578fc7e8275be60001359ac0,17,0,1,7209,viz2,0
normal,outliers,10,histogram,7,578fc7e8275be60001359ac0,18,0,0,12421,viz13,0
normal,outliers,15,scatter,0.175,578fc7e8275be60001359ac0,19,0,0,9790,viz10,0
normal,outliers,10,density,0.0175,578fc7e8275be60001359ac0,20,0,0,6226,viz1,0
normal,gap,15,histogram,14,578fc7e8275be60001359ac0,21,0,0,4454,viz19,0
normal,outliers,15,scatter,0.0875,578fc7e8275be60001359ac0,22,0,0,11717,viz3,0
normal,gap,15,density,0.0175,578fc7e8275be60001359ac0,23,0,0,4274,viz19,0
normal,gap,20,density,0.07,578fc7e8275be60001359ac0,24,0,1,4928,viz8,0
normal,gap,20,scatter,0.0875,578fc7e8275be60001359ac0,25,0,1,5110,viz5,0
normal,gap,15,histogram,28,578fc7e8275be60001359ac0,26,0,0,10586,viz11,0
normal,outliers,10,scatter,0.0875,578fc7e8275be60001359ac0,27,0,1,3867,viz5,0
normal,spike,10,histogram,28,578fc7e8275be60001359ac0,28,0,0,10890,viz18,0
